Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe	< 0.01	2,308 K	8,644 K	2840	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,560 K	6,544 K	2856	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,292 K	5,536 K	2868	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,696 K	21,416 K	2912	Host Process for Windows Services	Microsoft Corporation
  MsMpEng.exe	20.52	167,204 K	165,360 K	2920	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		3,348 K	12,232 K	2960	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,312 K	5,352 K	3052	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,320 K	11,864 K	3192	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,904 K	20,656 K	3468	Host Process for Windows Services	Microsoft Corporation
  NisSrv.exe		6,944 K	11,404 K	3868	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		5,600 K	17,260 K	3992	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,536 K	28,908 K	4044	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,640 K	20,276 K	2568	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,836 K	7,700 K	1084	Host Process for Windows Services	Microsoft Corporation
   ctfmon.exe	0.84	4,176 K	14,836 K	3772		
  svchost.exe	< 0.01	4,308 K	15,956 K	3740	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,444 K	15,188 K	4156	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,228 K	17,008 K	4444	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,596 K	6,968 K	4748	Host Process for Windows Services	Microsoft Corporation
  SearchIndexer.exe		20,836 K	24,236 K	4856	Microsoft Windows Search Indexer	Microsoft Corporation
   SearchProtocolHost.exe		1,776 K	6,844 K	524	Microsoft Windows Search Protocol Host	Microsoft Corporation
   SearchFilterHost.exe		1,432 K	6,064 K	8088		
   SearchProtocolHost.exe		2,380 K	9,348 K	7976		
  svchost.exe		2,140 K	7,444 K	5808	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,456 K	11,260 K	6060	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,136 K	9,208 K	6104	Host Process for Windows Services	Microsoft Corporation
  SecurityHealthService.exe		3,760 K	14,260 K	5636	Windows Security Health Service	Microsoft Corporation
  svchost.exe		3,432 K	7,864 K	6692	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,340 K	5,928 K	3564	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,208 K	15,476 K	400	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,800 K	11,196 K	1120	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,320 K	6,972 K	2948	Host Process for Windows Services	Microsoft Corporation
  SgrmBroker.exe		3,032 K	6,060 K	6484	System Guard Runtime Monitor Broker Service	Microsoft Corporation
  svchost.exe	< 0.01	3,108 K	11,308 K	6584	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,560 K	9,452 K	2356	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,900 K	11,688 K	6712	Host Process for Windows Services	Microsoft Corporation
  wmpnetwk.exe		6,452 K	23,004 K	4168	Windows Media Player Network Sharing Service	Microsoft Corporation
  svchost.exe		2,492 K	10,928 K	5072	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,612 K	11,268 K	2136	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		74,504 K	61,264 K	1188	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,508 K	23,388 K	6480	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,812 K	10,896 K	868	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,800 K	7,300 K	4376	Host Process for Windows Services	Microsoft Corporation
   Windows.WARP.JITService.exe		1,288 K	5,384 K	7788		
   Windows.WARP.JITService.exe		1,240 K	5,168 K	7404		
